Rawdata, Time, Device, Slot-id, type, x, y
02c5f2e8841, 1970-01-01-11:47:11.359, 0, 0, down, 744, 65
12c65172862, 1970-01-01-11:47:11.365, 0, 1, down, 370, 98
02ca22e9843, 1970-01-01-11:47:11.426, 0, 0, down, 745, 67
12ca3172863, 1970-01-01-11:47:11.427, 0, 1, down, 370, 99
02cac2ea849, 1970-01-01-11:47:11.436, 0, 0, down, 746, 73
12cac171869, 1970-01-01-11:47:11.436, 0, 1, down, 369, 105
02cb42ec853, 1970-01-01-11:47:11.444, 0, 0, down, 748, 83
12cb4170874, 1970-01-01-11:47:11.444, 0, 1, down, 368, 116
02cbd2ed85d, 1970-01-01-11:47:11.453, 0, 0, down, 749, 93
12cbd16f880, 1970-01-01-11:47:11.453, 0, 1, down, 367, 128
02cc62ee866, 1970-01-01-11:47:11.462, 0, 0, down, 750, 102
12cc616d889, 1970-01-01-11:47:11.462, 0, 1, down, 365, 137
02ccf2ef86f, 1970-01-01-11:47:11.471, 0, 0, down, 751, 111
12ccf16b893, 1970-01-01-11:47:11.471, 0, 1, down, 363, 147
02cd72ef877, 1970-01-01-11:47:11.479, 0, 0, down, 751, 119
12cd716a89e, 1970-01-01-11:47:11.479, 0, 1, down, 362, 158
02ce02f0881, 1970-01-01-11:47:11.488, 0, 0, down, 752, 129
12ce01688a9, 1970-01-01-11:47:11.488, 0, 1, down, 360, 169
02ce92f188f, 1970-01-01-11:47:11.497, 0, 0, down, 753, 143
12ce91678b7, 1970-01-01-11:47:11.497, 0, 1, down, 359, 183
02cf22f18a0, 1970-01-01-11:47:11.506, 0, 0, down, 753, 160
12cf21658c7, 1970-01-01-11:47:11.506, 0, 1, down, 357, 199
02cfa2f18b1, 1970-01-01-11:47:11.514, 0, 0, down, 753, 177
12cfb1638d6, 1970-01-01-11:47:11.515, 0, 1, down, 355, 214
02d032f18c1, 1970-01-01-11:47:11.523, 0, 0, down, 753, 193
12d031628e6, 1970-01-01-11:47:11.523, 0, 1, down, 354, 230
02d0c2f18d0, 1970-01-01-11:47:11.532, 0, 0, down, 753, 208
12d0c1618f6, 1970-01-01-11:47:11.532, 0, 1, down, 353, 246
02d152f08df, 1970-01-01-11:47:11.541, 0, 0, down, 752, 223
12d1515f908, 1970-01-01-11:47:11.541, 0, 1, down, 351, 264
02d1e2f08ef, 1970-01-01-11:47:11.550, 0, 0, down, 752, 239
12d1e15e918, 1970-01-01-11:47:11.550, 0, 1, down, 350, 280
02d272ee900, 1970-01-01-11:47:11.559, 0, 0, down, 750, 256
12d2715d92a, 1970-01-01-11:47:11.559, 0, 1, down, 349, 298
02d302ed914, 1970-01-01-11:47:11.568, 0, 0, down, 749, 276
12d3015b93d, 1970-01-01-11:47:11.568, 0, 1, down, 347, 317
02d382ec926, 1970-01-01-11:47:11.576, 0, 0, down, 748, 294
12d3815a950, 1970-01-01-11:47:11.576, 0, 1, down, 346, 336
02d412eb93a, 1970-01-01-11:47:11.585, 0, 0, down, 747, 314
12d41159961, 1970-01-01-11:47:11.585, 0, 1, down, 345, 353
02d4a2ea94c, 1970-01-01-11:47:11.594, 0, 0, down, 746, 332
12d4a158973, 1970-01-01-11:47:11.594, 0, 1, down, 344, 371
02d532e995e, 1970-01-01-11:47:11.603, 0, 0, down, 745, 350
12d53157985, 1970-01-01-11:47:11.603, 0, 1, down, 343, 389
02d5c2e896f, 1970-01-01-11:47:11.612, 0, 0, down, 744, 367
12d5d156998, 1970-01-01-11:47:11.613, 0, 1, down, 342, 408
02d652e7980, 1970-01-01-11:47:11.621, 0, 0, down, 743, 384
12d651569aa, 1970-01-01-11:47:11.621, 0, 1, down, 342, 426
02d6d2e7995, 1970-01-01-11:47:11.629, 0, 0, down, 743, 405
12d6d1559be, 1970-01-01-11:47:11.629, 0, 1, down, 341, 446
02d762e79a9, 1970-01-01-11:47:11.638, 0, 0, down, 743, 425
12d761549d3, 1970-01-01-11:47:11.638, 0, 1, down, 340, 467
02d7f2e79be, 1970-01-01-11:47:11.647, 0, 0, down, 743, 446
12d7f1549e8, 1970-01-01-11:47:11.647, 0, 1, down, 340, 488
02d872e69d2, 1970-01-01-11:47:11.655, 0, 0, down, 742, 466
12d871549fe, 1970-01-01-11:47:11.655, 0, 1, down, 340, 510
02d912e59e7, 1970-01-01-11:47:11.665, 0, 0, down, 741, 487
12d91154a14, 1970-01-01-11:47:11.665, 0, 1, down, 340, 532
02d992e59fc, 1970-01-01-11:47:11.673, 0, 0, down, 741, 508
12d99154a2a, 1970-01-01-11:47:11.673, 0, 1, down, 340, 554
02da32e5a11, 1970-01-01-11:47:11.683, 0, 0, down, 741, 529
12da3154a40, 1970-01-01-11:47:11.683, 0, 1, down, 340, 576
02daa2e5a27, 1970-01-01-11:47:11.690, 0, 0, down, 741, 551
12daa154a56, 1970-01-01-11:47:11.690, 0, 1, down, 340, 598
02db32e5a3d, 1970-01-01-11:47:11.699, 0, 0, down, 741, 573
12db3154a6c, 1970-01-01-11:47:11.699, 0, 1, down, 340, 620
02dbc2e4a53, 1970-01-01-11:47:11.708, 0, 0, down, 740, 595
12dbc154a83, 1970-01-01-11:47:11.708, 0, 1, down, 340, 643
02dc52e4a69, 1970-01-01-11:47:11.717, 0, 0, down, 740, 617
12dc5154a9a, 1970-01-01-11:47:11.717, 0, 1, down, 340, 666
02dce2e4a7f, 1970-01-01-11:47:11.726, 0, 0, down, 740, 639
12dce153ab2, 1970-01-01-11:47:11.726, 0, 1, down, 339, 690
02dd72e4a95, 1970-01-01-11:47:11.735, 0, 0, down, 740, 661
12dd7153ac8, 1970-01-01-11:47:11.735, 0, 1, down, 339, 712
02de02e4aac, 1970-01-01-11:47:11.744, 0, 0, down, 740, 684
12de0153adf, 1970-01-01-11:47:11.744, 0, 1, down, 339, 735
02de82e4ac3, 1970-01-01-11:47:11.752, 0, 0, down, 740, 707
12de8152af6, 1970-01-01-11:47:11.752, 0, 1, down, 338, 758
02df12e4ada, 1970-01-01-11:47:11.761, 0, 0, down, 740, 730
12df1152b0d, 1970-01-01-11:47:11.761, 0, 1, down, 338, 781
02dfa2e4af2, 1970-01-01-11:47:11.770, 0, 0, down, 740, 754
12dfa152b25, 1970-01-01-11:47:11.770, 0, 1, down, 338, 805
02e022e4b09, 1970-01-01-11:47:11.778, 0, 0, down, 740, 777
12e02152b3c, 1970-01-01-11:47:11.778, 0, 1, down, 338, 828
02e0c2e5b21, 1970-01-01-11:47:11.788, 0, 0, down, 741, 801
12e13152b54, 1970-01-01-11:47:11.795, 0, 1, down, 338, 852
02e152e5b37, 1970-01-01-11:47:11.797, 0, 0, down, 741, 823
12e15152b6d, 1970-01-01-11:47:11.797, 0, 1, down, 338, 877
02e1d2e5b4e, 1970-01-01-11:47:11.805, 0, 0, down, 741, 846
12e1e152b84, 1970-01-01-11:47:11.806, 0, 1, down, 338, 900
02e252e5b65, 1970-01-01-11:47:11.813, 0, 0, down, 741, 869
12e25153b9c, 1970-01-01-11:47:11.813, 0, 1, down, 339, 924
02e2e2e5b7c, 1970-01-01-11:47:11.822, 0, 0, down, 741, 892
12e2e154bb3, 1970-01-01-11:47:11.822, 0, 1, down, 340, 947
02e372e6b94, 1970-01-01-11:47:11.831, 0, 0, down, 742, 916
12e37155bcb, 1970-01-01-11:47:11.831, 0, 1, down, 341, 971
02e402e6bab, 1970-01-01-11:47:11.840, 0, 0, down, 742, 939
12e40156be3, 1970-01-01-11:47:11.840, 0, 1, down, 342, 995
02e492e6bc1, 1970-01-01-11:47:11.849, 0, 0, down, 742, 961
12e49156bfb, 1970-01-01-11:47:11.849, 0, 1, down, 342, 1019
02e522e7bd8, 1970-01-01-11:47:11.858, 0, 0, down, 743, 984
12e52157c12, 1970-01-01-11:47:11.858, 0, 1, down, 343, 1042
02e5b2e7bee, 1970-01-01-11:47:11.867, 0, 0, down, 743, 1006
12e5b158c29, 1970-01-01-11:47:11.867, 0, 1, down, 344, 1065
02e662e9c06, 1970-01-01-11:47:11.878, 0, 0, down, 745, 1030
12e66159c3f, 1970-01-01-11:47:11.878, 0, 1, down, 345, 1087
02e6c2eac1b, 1970-01-01-11:47:11.884, 0, 0, down, 746, 1051
12e6c15ac57, 1970-01-01-11:47:11.884, 0, 1, down, 346, 1111
02e752ecc32, 1970-01-01-11:47:11.893, 0, 0, down, 748, 1074
12e7515bc6d, 1970-01-01-11:47:11.893, 0, 1, down, 347, 1133
02e7e2edc48, 1970-01-01-11:47:11.902, 0, 0, down, 749, 1096
12e7e15cc85, 1970-01-01-11:47:11.902, 0, 1, down, 348, 1157
02e872eec5e, 1970-01-01-11:47:11.911, 0, 0, down, 750, 1118
12e8715cc9c, 1970-01-01-11:47:11.911, 0, 1, down, 348, 1180
02e8f2efc74, 1970-01-01-11:47:11.919, 0, 0, down, 751, 1140
12e8f15dcb4, 1970-01-01-11:47:11.919, 0, 1, down, 349, 1204
02e9c2f0c8a, 1970-01-01-11:47:11.932, 0, 0, down, 752, 1162
12e9c15ecc9, 1970-01-01-11:47:11.932, 0, 1, down, 350, 1225
02ea12f1c9f, 1970-01-01-11:47:11.937, 0, 0, down, 753, 1183
12ea115fcdd, 1970-01-01-11:47:11.937, 0, 1, down, 351, 1245
02eaa2f2cb4, 1970-01-01-11:47:11.946, 0, 0, down, 754, 1204
12eaa15fcf4, 1970-01-01-11:47:11.946, 0, 1, down, 351, 1268
02eb22f2cc9, 1970-01-01-11:47:11.954, 0, 0, down, 754, 1225
12eb2160d0a, 1970-01-01-11:47:11.954, 0, 1, down, 352, 1290
02ebb2f4cdd, 1970-01-01-11:47:11.963, 0, 0, down, 756, 1245
12ebb161d20, 1970-01-01-11:47:11.963, 0, 1, down, 353, 1312
02ec42f4cf1, 1970-01-01-11:47:11.972, 0, 0, down, 756, 1265
12ec4162d33, 1970-01-01-11:47:11.972, 0, 1, down, 354, 1331
02ecd2f6d06, 1970-01-01-11:47:11.981, 0, 0, down, 758, 1286
12ecd162d45, 1970-01-01-11:47:11.981, 0, 1, down, 354, 1349
02ed62f6d19, 1970-01-01-11:47:11.990, 0, 0, down, 758, 1305
12ed6163d56, 1970-01-01-11:47:11.990, 0, 1, down, 355, 1366
02ee02f7d2a, 1970-01-01-11:47:12.000, 0, 0, down, 759, 1322
12ee0164d67, 1970-01-01-11:47:12.000, 0, 1, down, 356, 1383
02ee72f7d3a, 1970-01-01-11:47:12.007, 0, 0, down, 759, 1338
12ee7166d79, 1970-01-01-11:47:12.007, 0, 1, down, 358, 1401
02ef02f8d4b, 1970-01-01-11:47:12.016, 0, 0, down, 760, 1355
12ef0168d8a, 1970-01-01-11:47:12.016, 0, 1, down, 360, 1418
02ef92f9d5b, 1970-01-01-11:47:12.025, 0, 0, down, 761, 1371
12ef916ad9a, 1970-01-01-11:47:12.025, 0, 1, down, 362, 1434
02f012f9d6c, 1970-01-01-11:47:12.033, 0, 0, down, 761, 1388
12f0116bdaa, 1970-01-01-11:47:12.033, 0, 1, down, 363, 1450
02f0a2fad7b, 1970-01-01-11:47:12.042, 0, 0, down, 762, 1403
12f0a16cdb9, 1970-01-01-11:47:12.042, 0, 1, down, 364, 1465
02f142fbd8a, 1970-01-01-11:47:12.052, 0, 0, down, 763, 1418
12f1416ddc9, 1970-01-01-11:47:12.052, 0, 1, down, 365, 1481
02f1c2fbd98, 1970-01-01-11:47:12.060, 0, 0, down, 763, 1432
12f1c16edd8, 1970-01-01-11:47:12.060, 0, 1, down, 366, 1496
02f2b2fbda7, 1970-01-01-11:47:12.075, 0, 0, down, 763, 1447
12f2b16ede7, 1970-01-01-11:47:12.075, 0, 1, down, 366, 1511
02f2e2fbdb6, 1970-01-01-11:47:12.078, 0, 0, down, 763, 1462
12f2e16fdf6, 1970-01-01-11:47:12.078, 0, 1, down, 367, 1526
02f362fcdc6, 1970-01-01-11:47:12.086, 0, 0, down, 764, 1478
12f3616fe07, 1970-01-01-11:47:12.086, 0, 1, down, 367, 1543
02f3f2fcdd4, 1970-01-01-11:47:12.095, 0, 0, down, 764, 1492
12f3f16fe16, 1970-01-01-11:47:12.095, 0, 1, down, 367, 1558
02f482fbde3, 1970-01-01-11:47:12.104, 0, 0, down, 763, 1507
12f4816fe27, 1970-01-01-11:47:12.104, 0, 1, down, 367, 1575
02f512fadf1, 1970-01-01-11:47:12.113, 0, 0, down, 762, 1521
12f51170e37, 1970-01-01-11:47:12.113, 0, 1, down, 368, 1591
02f5a2f9e00, 1970-01-01-11:47:12.122, 0, 0, down, 761, 1536
12f5a170e47, 1970-01-01-11:47:12.122, 0, 1, down, 368, 1607
02f622f8e10, 1970-01-01-11:47:12.130, 0, 0, down, 760, 1552
12f62170e55, 1970-01-01-11:47:12.130, 0, 1, down, 368, 1621
02f6d2f6e21, 1970-01-01-11:47:12.141, 0, 0, down, 758, 1569
12f6d170e63, 1970-01-01-11:47:12.141, 0, 1, down, 368, 1635
02f732f4e30, 1970-01-01-11:47:12.147, 0, 0, down, 756, 1584
12f7416fe72, 1970-01-01-11:47:12.148, 0, 1, down, 367, 1650
02f7e2f2e40, 1970-01-01-11:47:12.158, 0, 0, down, 754, 1600
12f7e16fe82, 1970-01-01-11:47:12.158, 0, 1, down, 367, 1666
02f852efe50, 1970-01-01-11:47:12.165, 0, 0, down, 751, 1616
12f8516fe8f, 1970-01-01-11:47:12.165, 0, 1, down, 367, 1679
02f8f2ede5e, 1970-01-01-11:47:12.175, 0, 0, down, 749, 1630
12f8f16fe9b, 1970-01-01-11:47:12.175, 0, 1, down, 367, 1691
02f972ece6a, 1970-01-01-11:47:12.183, 0, 0, down, 748, 1642
12f9716fea7, 1970-01-01-11:47:12.183, 0, 1, down, 367, 1703
02fa12ece75, 1970-01-01-11:47:12.193, 0, 0, down, 748, 1653
12fa116feb3, 1970-01-01-11:47:12.193, 0, 1, down, 367, 1715
02fa82ebe80, 1970-01-01-11:47:12.200, 0, 0, down, 747, 1664
12fa816febe, 1970-01-01-11:47:12.200, 0, 1, down, 367, 1726
02fb32eae8b, 1970-01-01-11:47:12.211, 0, 0, down, 746, 1675
12fb316fec8, 1970-01-01-11:47:12.211, 0, 1, down, 367, 1736
02fba2e9e97, 1970-01-01-11:47:12.218, 0, 0, down, 745, 1687
12fba171ed1, 1970-01-01-11:47:12.218, 0, 1, down, 369, 1745
02fc42e9ea3, 1970-01-01-11:47:12.228, 0, 0, down, 745, 1699
12fc4172edc, 1970-01-01-11:47:12.228, 0, 1, down, 370, 1756
02fcc2e8ead, 1970-01-01-11:47:12.236, 0, 0, down, 744, 1709
12fcc173ee7, 1970-01-01-11:47:12.236, 0, 1, down, 371, 1767
02fdc2e86ad, 1970-01-01-11:47:12.252, 0, 0, up, 744, 1709
12fdc1736e7, 1970-01-01-11:47:12.252, 0, 1, up, 371, 1767
